Municipio,Categoria,Nome,Endereco,Latitude,Longitude
Pedra Branca,Educação,ECI JOÃO DE SOUSA PRIMO,"R. José Teotônio, Centro, Pedra Branca - PB, 58790-000",-7.426538761910699,-38.07043276580314
Pedra Branca,Educação,EEEF RAIMUNDO EPAMINONDAS DE SOUSA,"R. Antonio de Sousa Oliveira, Centro, Pedra Branca - PB, 58790-000",-7.4262439280964285,-38.067792449445065
Guarabira,Educação,Escola Cidadã Integral José Soares de Carvalho - Colégio Estadual,"R. Henrique Pacífico, 45 - Primavera, Guarabira - PB, 58200-000",-6.854015979986203,-35.4975169440757
Guarabira,Educação,"EEEF DEP GUSTAVO AMORIM
","R. Oséias Amaral, 133 - Cordeiro, Guarabira - PB, 58200-000",-6.849206832575577,-35.49950764006583
Guarabira,Educação,E.E.E.F.M. Professor Edgardo Júlio,"R. Hermenegildo Cunha - Nordeste, Guarabira - PB, 58200-000",-6.858236169719718,-35.48389812509101
Guarabira,Educação,EEEF Antenor Navarro,"R. Pref. Manoel Lordão, 129 - Centro, Guarabira - PB, 58200-000",-6.855655051492557,-35.48716373531278
Guarabira,Educação,EEEM John Kennedy,"R. John Kenedy, 515 - Bairro Novo, Guarabira - PB, 58200-000",-6.844404237513205,-35.49448383564092
Guarabira,Educação,ECIT Monsenhor Emiliano de Cristo,"R. João Lordão, 125 - Nordeste II, Guarabira - PB, 58200-000",-6.856599704522192,-35.482330545795655
Guarabira,Educação,E.E.E.F. Professor Antônio Benvindo,"R. Napoleão Laureano - Bairro Novo, Guarabira - PB, 58200-000",-6.844940348909391,-35.494496457788436
Guarabira,Educação,EEEF Desembargador Pedro Bandeira,"R. José Maurício da Costa, S/N - CONJ. ASSIS CHATEAUBRIAND, Guarabira - PB, 58200-000",-6.86336112139905,-35.491695400117365
Guarabira,Educação,ECIT Dom Marcelo Pinto Carvalheira,"R. Otacílio Líra Cabral - Guarabira, PB, 58200-000",-6.877730092540209,-35.478265131176904
Guarabira,Educação,EEF Abdon Miranda,"Sítio. São José do Miranda, Guarabira - PB, 58200-000",-6.925310191801295,-35.3947918340105
Guarabira,Trânsito,DETRAN Departamento Estadual de Trânsito,"R. Padre Inácio de Almeida, 215 - Bairro Novo, Guarabira - PB, 58200-000",-6.841996190476562,-35.488291134035336
Guarabira,Segurança,"Delegacia de Policia de Guarabira
","Tv. Lodônio de Bulhões, 36-112 - Alto Boa Vista, Guarabira - PB, 58200-000",-6.848258779687092,-35.50403235117338
Guarabira,Segurança,"8ª Delegacia da Polícia Civil
","R. José da Cunha Rego, 180 - Centro, Guarabira - PB, 58200-000",-6.850040371916876,-35.48897266480996
